id,name,code,account_type,chart_template_id/id,reconcile
a2388,Uzkrātie ieņēmumi,2388,asset_current,l10n_lv.account_chart_template_latvia,False
a2390,"Pārmaksātie nodokļi, iepriekš samaksātie nodokļi",2390,asset_current,l10n_lv.account_chart_template_latvia,False
a2391,Nodokļu un nodevu dzēšana (nodokļu konts),2391,asset_current,l10n_lv.account_chart_template_latvia,False
a2392,Iesaldēts atgūstams PVN,2392,asset_current,l10n_lv.account_chart_template_latvia,False
a2399,"Aprēķināts, bet neatskaitīts PVN",2399,asset_current,l10n_lv.account_chart_template_latvia,False
a2410,Nākamo periodu izdevumi,2410,asset_current,l10n_lv.account_chart_template_latvia,False
a2420,Akciju emisijas nocenojums,2420,asset_current,l10n_lv.account_chart_template_latvia,False
a2510,Meitas uzņēmuma akcijas un daļas,2510,asset_current,l10n_lv.account_chart_template_latvia,False
a2520,Saistīto uzņēmumu akcijas un daļas,2520,asset_current,l10n_lv.account_chart_template_latvia,False
a2530,Pašu uzņēmuma akcijas un daļas,2530,asset_current,l10n_lv.account_chart_template_latvia,False
a2540,Pārējie vērtspapīri un līdzdalība kapitālos,2540,asset_current,l10n_lv.account_chart_template_latvia,False
a2550,Atvasinātie finanšu instrumenti,2550,asset_current,l10n_lv.account_chart_template_latvia,False
a2610,Skaidras naudas kase,2610,asset_cash,l10n_lv.account_chart_template_latvia,False
a2613,EKA (mazumtirdzniecības) kase,2613,asset_cash,l10n_lv.account_chart_template_latvia,False
a2620,Bankas konts,2620,asset_cash,l10n_lv.account_chart_template_latvia,False
a26291,Bankas pagaidu konts,26291,asset_current,l10n_lv.account_chart_template_latvia,False
a26292,Nonoslēgtie ieņēmumi,26292,asset_current,l10n_lv.account_chart_template_latvia,False
a26293,Nonoslēgtie izdevumi,26293,asset_current,l10n_lv.account_chart_template_latvia,False
a2640,"Akreditīvi, čeki un īpašu formu konti",2640,asset_cash,l10n_lv.account_chart_template_latvia,False
a2650,Citi konti bankās,2650,asset_cash,l10n_lv.account_chart_template_latvia,False
a2670,Pārējie naudas līdzekļi,2670,asset_cash,l10n_lv.account_chart_template_latvia,False
a2671,POS vai maksājumu sistēmu norēķini,2671,asset_cash,l10n_lv.account_chart_template_latvia,False
a2696,Maksājumu ieskaite,2696,asset_current,l10n_lv.account_chart_template_latvia,False
a2698,Valūtas konvertācijas konts,2698,asset_current,l10n_lv.account_chart_template_latvia,False
a2699,Naudas līdzekļi ceļā,2699,asset_current,l10n_lv.account_chart_template_latvia,True
a3110,Pamatkapitāls vai līdzdalības kapitāls,3110,equity,l10n_lv.account_chart_template_latvia,False
a3111,Nereģistrēts pamatkapitāls,3111,equity,l10n_lv.account_chart_template_latvia,False
a3120,Akciju emisijas uzcenojums,3120,equity,l10n_lv.account_chart_template_latvia,False
a3130,Ilgtermiņa ieguldījumu pārvērtēšanas rezerve,3130,equity,l10n_lv.account_chart_template_latvia,False
a3140,Finanšu instrumentu pārvērtēšanas rezerve,3140,equity,l10n_lv.account_chart_template_latvia,False
a3210,Privātiem nolūkiem izņemtie līdzekļi,3210,liability_current,l10n_lv.account_chart_template_latvia,True
a3220,Privātie ieguldījumi,3220,liability_current,l10n_lv.account_chart_template_latvia,True
a3310,Likumā noteiktās rezerves,3310,equity,l10n_lv.account_chart_template_latvia,False
a3320,Rezerve pašu akcijām un daļām,3320,equity,l10n_lv.account_chart_template_latvia,False
a3330,Sabiedrības statūtos noteiktās rezerves,3330,equity,l10n_lv.account_chart_template_latvia,False
a3340,"Rezerves, kas novirzītas attīstībai",3340,equity,l10n_lv.account_chart_template_latvia,False
a3350,Ārvalstu valūtu pārrēķināšanas rezerve,3350,equity,l10n_lv.account_chart_template_latvia,False
a3360,Pārējās rezerves,3360,equity,l10n_lv.account_chart_template_latvia,False
a3410,Pārskata gada nesadalīta peļņa,3410,equity_unaffected,l10n_lv.account_chart_template_latvia,False
a3420,Iepriekšējo gadu nesadalītā peļņa,3420,equity,l10n_lv.account_chart_template_latvia,False
a4110,Uzkrājumi pensijām pielīdzinātām saistībām,4110,liability_non_current,l10n_lv.account_chart_template_latvia,False
a4210,Uzkrājumi paredzamiem nodokļiem,4210,liability_non_current,l10n_lv.account_chart_template_latvia,False
a4310,Citi uzkrājumi,4310,liability_non_current,l10n_lv.account_chart_template_latvia,False
a4319,Uzkrājumi šaubīgiem debitoriem,4319,liability_non_current,l10n_lv.account_chart_template_latvia,False
a5110,Aizņēmumi par obligācijām,5110,liability_non_current,l10n_lv.account_chart_template_latvia,False
a5120,Akcijās pārvēršamie aizņēmumi,5120,liability_non_current,l10n_lv.account_chart_template_latvia,False
a5130,Aizņēmumi ar līdzdalību peļņā,5130,liability_non_current,l10n_lv.account_chart_template_latvia,False
a5140,Citi aizņēmumi,5140,liability_non_current,l10n_lv.account_chart_template_latvia,True
a5141,Aizņēmumi no dalībniekiem,5141,liability_non_current,l10n_lv.account_chart_template_latvia,True
a5150,Īstermiņa aizņēmumi no kredītiestādēm,5150,liability_current,l10n_lv.account_chart_template_latvia,False
a5160,Ilgtermiņa aizņēmumi no kredītiestādēm,5160,liability_non_current,l10n_lv.account_chart_template_latvia,False
a5170,Īstermiņa līzinga saistības,5170,liability_non_current,l10n_lv.account_chart_template_latvia,False
a5180,Ilgtermiņa līzinga saistības,5180,liability_non_current,l10n_lv.account_chart_template_latvia,False
a5190,Aizņēmumi bez norādītā termiņa,5190,liability_non_current,l10n_lv.account_chart_template_latvia,False
a5210,Norēķini par saņemtiem avansiem,5210,liability_current,l10n_lv.account_chart_template_latvia,True
a5299,Aprēķināts un atskaitīts PVN,5299,liability_current,l10n_lv.account_chart_template_latvia,False
a5310,Tekošie kreditoru parādi no saimnieciskās darbības (tirdzniecības),5310,liability_payable,l10n_lv.account_chart_template_latvia,True
a5319,Uzkrātas kreditoru saistības,5319,liability_current,l10n_lv.account_chart_template_latvia,False
a5410,Norēķini par pašu izdotajiem vekseļiem,5410,liability_current,l10n_lv.account_chart_template_latvia,False
a5510,Norēķini par parādiem meitas uzņēmumiem,5510,liability_payable,l10n_lv.account_chart_template_latvia,True
a5520,Norēķini par parādiem saistītajiem uzņēmumiem,5520,liability_current,l10n_lv.account_chart_template_latvia,False
a5530,"Norēķini par parādiem ar uzņēmumiem, saskaņā ar līgumiem par līdzdalību",5530,liability_current,l10n_lv.account_chart_template_latvia,False
a5540,Norēķini par parādiem ar citiem uzņēmumiem,5540,liability_current,l10n_lv.account_chart_template_latvia,False
a5550,Norēķini par parādiem ar personālu,5550,liability_current,l10n_lv.account_chart_template_latvia,False
a5610,Norēķini par darba algu,5610,liability_current,l10n_lv.account_chart_template_latvia,True
a5611,Norēķini par darba algas avansiem,5611,liability_current,l10n_lv.account_chart_template_latvia,True
a5612,Izmaksāta atvaļinājuma nauda,5612,liability_current,l10n_lv.account_chart_template_latvia,True
a5613,Citas izmaksas un ienākumiem pieskaitāmie pie darba algas,5613,liability_current,l10n_lv.account_chart_template_latvia,True
a5619,Izmaksājamie pabalsti,5619,liability_current,l10n_lv.account_chart_template_latvia,False
a5620,Norēķini par ieturējumiem no darba algas,5620,liability_current,l10n_lv.account_chart_template_latvia,True
